AP,Score
WAP132,0.0015075699255837824
WAP133,0.00028302313997192406
WAP134,0.02727210976769461
WAP135,0.026855122341469303
WAP136,0.021868254615164003
WAP137,0.023560732992196107
WAP138,0.0
WAP139,0.0
WAP140,0.05016868179142326
WAP141,0.049119609352594004
WAP142,0.0008622771664477955
WAP143,0.002528340050415855
WAP144,0.005920844088212652
WAP145,0.006951048317710457
WAP146,0.027106069525577745
WAP147,0.02688153783453335
WAP148,0.0334401273981494
WAP149,0.03427221542966686
WAP150,0.017909704297423355
WAP151,0.019092741022506004
WAP152,0.0
WAP153,0.0
WAP154,0.0
WAP155,0.0011019034249573577
WAP156,0.0013019064438708507
WAP157,0.0
WAP158,0.0
WAP159,0.0
WAP160,0.0
WAP161,0.0
WAP162,0.0
WAP163,0.0
WAP164,0.017453093631601985
WAP165,0.016824782260864316
WAP166,0.042779891017222904
WAP167,0.04369688599073194
WAP168,0.027213618318767077
WAP169,0.027930610273362615
WAP170,0.03187406602363809
WAP171,0.030619330103095897
WAP172,0.04759317121767876
WAP173,0.04762713399447538
WAP174,0.025158870322570904
WAP175,0.02467395734275234
WAP176,0.03783453335144682
WAP177,0.03797415810049962
WAP178,0.046506362360186564
WAP179,0.04820638802095126
WAP180,0.03233445033132576
WAP181,0.03324012437923591
WAP182,0.0200286042053465
WAP183,0.020251249075457743
WAP184,0.023090914579842713
WAP185,0.023273936210357893
WAP186,0.022015426647949404
WAP187,0.021783347673172426
WAP188,0.03815906655194795
WAP189,0.04033457108786547
WAP190,1.3207746532023125e-05
WAP191,0.026451342661776026
WAP192,0.026594741052695135
WAP193,0.00015094567465169284
WAP194,0.0006377454754034024
WAP195,0.0
WAP196,0.0
WAP197,0.0
WAP198,0.00023019215384383163
WAP199,0.0
WAP200,0.0
WAP201,0.0
WAP202,0.0
WAP203,0.0
WAP204,0.0
WAP205,0.0
WAP206,3.9623239596069374e-05
WAP207,0.0
WAP208,0.00012264336065450046
WAP209,0.00011132243505562347
WAP210,0.0
WAP211,0.0
WAP212,0.0
WAP213,0.0
WAP214,0.0
WAP215,0.0
WAP216,0.0
WAP217,0.0
WAP218,0.0
WAP219,0.0
WAP220,0.0
