AP,Score
WAP130,0.7998310306977595
WAP131,0.11478921229589638
WAP132,0.10738442236914378
WAP133,0.020135803493674092
WAP134,0.8920561115816709
WAP135,0.8834569971546932
WAP136,0.8121713747826985
WAP137,0.8622252341403244
WAP138,-0.0
WAP139,-0.0
WAP140,1.3148596550308747
WAP141,1.2694185745644788
WAP142,0.09459133393071091
WAP143,0.16967436311920173
WAP144,0.3235283920644605
WAP145,0.36583711608527386
WAP146,0.8801089857108777
WAP147,0.8835396327105558
WAP148,1.0413523591220104
WAP149,1.04101128851818
WAP150,0.57431752018353
WAP151,0.6418434894450884
WAP152,-0.0
WAP153,-0.0
WAP154,-0.0
WAP155,0.08159529727208302
WAP156,0.09259767832620024
WAP157,-0.0
WAP158,-0.0
WAP159,-0.0
WAP160,-0.0
WAP161,-0.0
WAP162,-0.0
WAP163,-0.0
WAP164,0.5998493665951374
WAP165,0.5858726708696166
WAP166,1.3898505945412976
WAP167,1.413172685004619
WAP168,0.9615195551852974
WAP169,0.9756083686590369
WAP170,1.150220399350231
WAP171,1.1424552790260538
WAP172,1.3897682877459716
WAP173,1.3828520806392055
WAP174,0.7714854203445679
WAP175,0.751686843302959
WAP176,0.9818614475283498
WAP177,0.9914014843493146
WAP178,1.233825745789817
WAP179,1.2825153122269657
WAP180,0.8786025819413852
WAP181,0.9173368059157737
WAP182,0.8329554523091987
WAP183,0.8521374361643789
WAP184,0.8852484171324181
WAP185,0.90489692179326
WAP186,0.7015332172104598
WAP187,0.7184912680316624
WAP188,1.0835900053779632
WAP189,1.1369175844436972
WAP190,0.0026531450962206495
WAP191,0.8683830891965753
WAP192,0.8949373146406574
WAP193,0.020135803493674092
WAP194,0.018914194867084965
WAP195,-0.0
WAP196,-0.0
WAP197,-0.0
WAP198,0.019709428566134564
WAP199,-0.0
WAP200,-0.0
WAP201,-0.0
WAP202,-0.0
WAP203,-0.0
WAP204,-0.0
WAP205,-0.0
WAP206,0.011725545031025669
WAP207,-0.0
WAP208,0.016740682195399807
WAP209,0.017270876094969367
WAP210,-0.0
WAP211,-0.0
WAP212,-0.0
WAP213,-0.0
WAP214,-0.0
WAP215,-0.0
WAP216,-0.0
