AP,Score
WAP134,0.2140889475550626
WAP135,0.21144811747912398
WAP136,0.18065341117557657
WAP137,0.1945545014184365
WAP138,0.0
WAP139,0.0
WAP140,0.28659985407419974
WAP141,0.2606027191131003
WAP142,0.014032841502443993
WAP143,0.03675807709721553
WAP144,0.07106707483894467
WAP145,0.07650116875868536
WAP146,0.14383779827481477
WAP147,0.14764264181539363
WAP148,0.2537651251496727
WAP149,0.2541324852452663
WAP150,0.12365644146087881
WAP151,0.14108328188262118
WAP152,0.0
WAP153,0.0
WAP154,0.0
WAP155,0.025989735099408273
WAP156,0.024364297037414318
WAP157,0.0
WAP158,0.0
WAP159,0.0
WAP160,0.0
WAP161,0.0
WAP162,0.0
WAP163,0.0
WAP164,0.14059300785934697
WAP165,0.13122960905142458
WAP166,0.33562955161356384
WAP167,0.3407716728808984
WAP168,0.2019867857142022
WAP169,0.20405598878775227
WAP170,0.23190220282008145
WAP171,0.22505059936624328
WAP172,0.3079274872665675
WAP173,0.31622244228693264
WAP174,0.18054965381815563
WAP175,0.17270625393516575
WAP176,0.26839180591461326
WAP177,0.2645161873490709
WAP178,0.31765396036668775
WAP179,0.3325506574593204
WAP180,0.1940294956888476
WAP181,0.21531580952994495
WAP182,0.1638428777988703
WAP183,0.16460094304103912
WAP184,0.17147404844095213
WAP185,0.17548625701609719
WAP186,0.1541237391219478
WAP187,0.1662125401185696
WAP188,0.2776539043008497
WAP189,0.2853907195107741
WAP190,0.004221517603874236
WAP191,0.19846067854016997
WAP192,0.20683513333722142
WAP193,0.007445774432479802
WAP194,0.004720749462357876
WAP195,0.0
WAP196,0.0
WAP197,0.0
WAP198,0.007145170217382457
WAP199,0.0
WAP200,0.0
WAP201,0.0
WAP202,0.0
WAP203,0.0
WAP204,0.0
WAP205,0.0
WAP206,0.0057634260012022764
WAP207,0.0
WAP208,0.004751063813414902
WAP209,0.004751063813414902
WAP210,0.0
WAP211,0.0
WAP212,0.0
WAP213,0.0
WAP214,0.0
WAP215,0.0
WAP216,0.0
WAP217,0.0
WAP218,0.0
WAP219,0.0
WAP220,0.0
WAP221,0.0
WAP222,0.27255741349359014
WAP223,0.28054013272504674
WAP224,0.0
