AP,Score
WAP130,0.0070385700711224864
WAP131,0.0002413554473381408
WAP132,0.0002211360934734285
WAP133,4.1548944230719555e-05
WAP134,0.007257083515901926
WAP135,0.007062909587576527
WAP136,0.005535773180431555
WAP137,0.005968244000454731
WAP138,0.0
WAP139,0.0
WAP140,0.012752843298673537
WAP141,0.01268895355994788
WAP142,8.91196029246766e-05
WAP143,0.0004025701686866782
WAP144,0.000990343906145916
WAP145,0.0011706835653968615
WAP146,0.006539844357817994
WAP147,0.006383213654555812
WAP148,0.009359984507633753
WAP149,0.009800830043738716
WAP150,0.005126260220017982
WAP151,0.005177039268351897
WAP152,0.0
WAP153,0.0
WAP154,0.0
WAP155,0.00013673503484781967
WAP156,0.0001515366641852114
WAP157,0.0
WAP158,0.0
WAP159,0.0
WAP160,0.0
WAP161,0.0
WAP162,0.0
WAP163,0.0
WAP164,0.005201024077853071
WAP165,0.005008555021799696
WAP166,0.009972477753588213
WAP167,0.010181088812157187
WAP168,0.006919079288465329
WAP169,0.00705500483016616
WAP170,0.006982900318408547
WAP171,0.006686833081724877
WAP172,0.011773142790992463
WAP173,0.011567128437285136
WAP174,0.007529868862130128
WAP175,0.007315790352761716
WAP176,0.011761021758458794
WAP177,0.01173877881415775
WAP178,0.012691175275662176
WAP179,0.012920610774751566
WAP180,0.00938262106039306
WAP181,0.009381279102668406
WAP182,0.004834104106859491
WAP183,0.00479623445810724
WAP184,0.005460884880508538
WAP185,0.005323310381440877
WAP186,0.006571372160313629
WAP187,0.006303993311478054
WAP188,0.010892006181849937
WAP189,0.011297078733935888
WAP190,9.064139776878618e-07
WAP191,0.006955184186893865
WAP192,0.006842559753170205
WAP193,1.1818366358960224e-05
WAP194,0.0003114226276150913
WAP195,0.0
WAP196,0.0
WAP197,0.0
WAP198,3.06599980395037e-05
WAP199,0.0
WAP200,0.0
WAP201,0.0
WAP202,0.0
WAP203,0.0
WAP204,0.0
WAP205,0.0
WAP206,1.6450903613510837e-06
WAP207,0.0
WAP208,1.1215551479956824e-05
WAP209,9.331016566624362e-06
WAP210,0.0
WAP211,0.0
WAP212,0.0
WAP213,0.0
WAP214,0.0
WAP215,0.0
WAP216,0.0
